Stay    ;BodyType ;AircraftType ;Towable ;Arr_OwnerCie ;Arr_ExploitingCie ;Arr_Number ;Arr_Date   ;Arr_Hour ;Arr_CourrierCode ;Arr_Stop ;Dep_OwnerCie ;Dep_ExploitingCie ;Dep_Number ;Dep_Date   ;Dep_Hour ;Dep_CourrierCode ;Dep_Stop
2311866 ;MP       ;320          ;      0 ;AF           ;AF                ;      1243 ;26/06/2016 ;08:35    ;MC               ;GVA      ;AF           ;AF                ;      1178 ;26/06/2016 ;09:40    ;MC               ;NAP
2311867 ;MP       ;321          ;      1 ;AF           ;AF                ;      1063 ;25/06/2016 ;22:05    ;MC               ;ARN      ;AF           ;AF                ;      1204 ;26/06/2016 ;07:15    ;MC               ;FCO
2311868 ;3N       ;E70          ;      0 ;A5           ;AF                ;      7753 ;26/06/2016 ;12:20    ;MC               ;CFE      ;A5           ;AF                ;      1186 ;26/06/2016 ;13:00    ;MC               ;LJU
2311869 ;MP       ;320          ;      0 ;AF           ;AF                ;      1321 ;26/06/2016 ;12:05    ;MC               ;TLV      ;AF           ;AF                ;      1184 ;26/06/2016 ;13:40    ;MC               ;TUN
2311870 ;MP       ;319          ;      1 ;AF           ;AF                ;      1755 ;25/06/2016 ;22:15    ;MC               ;ALG      ;AF           ;AF                ;      1164 ;26/06/2016 ;08:00    ;MC               ;BHX
2311871 ;MP       ;320          ;      0 ;AF           ;AF                ;      1889 ;26/06/2016 ;17:20    ;MC               ;OTP      ;AF           ;AF                ;      1168 ;26/06/2016 ;18:20    ;MC               ;MAN
2311872 ;MP       ;320          ;      1 ;AF           ;AF                ;      1051 ;25/06/2016 ;22:15    ;MC               ;CPH      ;AF           ;AF                ;      1232 ;26/06/2016 ;07:15    ;MC               ;ATH
2311873 ;MP       ;321          ;      1 ;AF           ;AF                ;      1049 ;25/06/2016 ;21:20    ;MC               ;BCN      ;AF           ;AF                ;      1240 ;26/06/2016 ;07:20    ;MC               ;AMS
2311874 ;MP       ;320          ;      0 ;AF           ;AF                ;      7637 ;26/06/2016 ;19:45    ;MC               ;BOD      ;AF           ;AF                ;      1242 ;26/06/2016 ;20:45    ;MC               ;GVA
2311875 ;MP       ;318          ;      0 ;AF           ;AF                ;      1615 ;26/06/2016 ;16:35    ;MC               ;ZRH      ;AF           ;AF                ;      1238 ;26/06/2016 ;17:25    ;MC               ;VIE
2311876 ;3N       ;E90          ;      0 ;A5           ;AF                ;      1519 ;26/06/2016 ;11:55    ;MC               ;FRA      ;A5           ;AF                ;      1218 ;26/06/2016 ;12:35    ;MC               ;FRA
