Stay;BodyType;AircraftType;NbTowings;Arr_Number;Arr_Date;Arr_Hour;Arr_CourrierCode;Dep_Number;Dep_Date;Dep_Hour;Dep_CourrierCode
2309512;MP;320;0;1555;23/06/2016;13:15;MC;0;23/06/2016;14:15;MC
2309513;MP;319;0;1179;23/06/2016;15:05;MC;0;23/06/2016;16:05;MC
2311090;MP;320;2;1313;23/06/2016;22:10;MC;7660;24/06/2016;07:20;MC
2311119;MP;318;2;7685;23/06/2016;22:10;MC;7700;24/06/2016;07:15;MC
2310577;3N;E70;0;7755;23/06/2016;15:45;MC;1524;23/06/2016;16:25;MC
2310578;MP;319;0;1727;23/06/2016;16:50;MC;1526;23/06/2016;18:05;MC
2310581;MP;321;0;1005;23/06/2016;08:50;MC;1504;23/06/2016;09:45;MC
2310583;3N;E90;0;7537;23/06/2016;12:15;MC;1506;23/06/2016;12:55;MC
2310585;MP;318;0;1713;23/06/2016;18:40;MC;1512;23/06/2016;19:50;MC
2310586;3N;E90;0;1607;23/06/2016;13:20;MC;1576;23/06/2016;16:20;MC
2310587;MP;318;0;7689;23/06/2016;12:20;MC;1566;23/06/2016;13:10;MC
2310589;MP;318;0;1057;23/06/2016;11:50;MC;1560;23/06/2016;13:00;MC
2310590;MP;319;0;1753;23/06/2016;17:30;MC;1564;23/06/2016;18:45;MC
2310592;MP;318;0;1815;23/06/2016;19:30;MC;1578;23/06/2016;20:35;MC
2310594;MP;321;0;7625;23/06/2016;12:05;MC;1534;23/06/2016;13:00;MC
2310596;MP;320;0;1135;23/06/2016;08:50;MC;1532;23/06/2016;09:50;MC
2310597;3N;E90;0;1375;23/06/2016;19:10;MC;1552;23/06/2016;19:55;MC
2310598;MP;319;0;1233;23/06/2016;14:40;MC;1548;23/06/2016;15:30;MC
2310599;MP;320;0;1125;23/06/2016;09:30;MC;1426;23/06/2016;10:25;MC
2310601;MP;318;0;7649;23/06/2016;20:10;MC;1414;23/06/2016;21:10;MC
2310602;3N;E90;0;1775;23/06/2016;15:05;MC;1406;23/06/2016;15:45;MC
2310604;MP;319;0;7681;23/06/2016;07:50;MC;1410;23/06/2016;08:35;MC
2310605;3N;E70;0;1811;23/06/2016;20:00;MC;1416;23/06/2016;20:50;MC
2310608;3N;E90;0;1107;23/06/2016;07:55;MC;1476;23/06/2016;08:35;MC
2310609;MP;319;0;1381;23/06/2016;09:00;MC;1464;23/06/2016;09:55;MC
2310610;MP;320;0;1781;23/06/2016;18:05;MC;1496;23/06/2016;19:00;MC
2310611;3N;E90;0;1687;23/06/2016;14:25;MC;1486;23/06/2016;15:25;MC
2310612;MP;318;0;7643;23/06/2016;14:35;MC;1494;23/06/2016;15:30;MC
2310613;MP;321;0;1649;23/06/2016;17:05;MC;1440;23/06/2016;18:00;MC
2310614;MP;318;0;1435;23/06/2016;11:55;MC;1442;23/06/2016;12:50;MC
2310615;3N;E70;0;1393;23/06/2016;19:45;MC;1438;23/06/2016;20:25;MC
2310616;MP;320;0;1343;23/06/2016;19:15;MC;1462;23/06/2016;20:05;MC
2310617;MP;321;0;1835;23/06/2016;19:55;MC;1448;23/06/2016;21:00;MC
2310618;3N;E90;0;1307;23/06/2016;10:35;MC;1452;23/06/2016;13:05;MC
2310619;MP;318;0;1543;23/06/2016;10:25;MC;1742;23/06/2016;11:15;MC
2310620;MP;321;0;1205;23/06/2016;12:25;MC;1738;23/06/2016;13:25;MC
2310621;MP;318;0;1423;23/06/2016;11:25;MC;1740;23/06/2016;12:35;MC
2310622;MP;319;0;1359;23/06/2016;11:45;MC;1744;23/06/2016;12:50;MC
2311168;MP;318;2;1561;23/06/2016;17:45;MC;1056;24/06/2016;07:30;MC
2311170;MP;318;2;1767;23/06/2016;22:05;MC;1066;24/06/2016;07:20;MC
2311177;MP;319;2;1051;23/06/2016;22:15;MC;1000;24/06/2016;07:15;MC
2311188;MP;319;2;1891;23/06/2016;21:25;MC;1164;24/06/2016;08:00;MC
2311192;MP;319;2;1047;23/06/2016;21:30;MC;1232;24/06/2016;07:15;MC
2311193;MP;321;2;7527;23/06/2016;22:15;MC;1240;24/06/2016;07:20;MC
2311199;MP;319;2;7633;23/06/2016;22:20;MC;1212;24/06/2016;07:20;MC
2311200;MP;318;2;1101;23/06/2016;22:20;MC;1228;24/06/2016;07:30;MC
2311202;MP;321;2;1441;23/06/2016;21:45;MC;1204;24/06/2016;07:15;MC
2311204;MP;318;2;1315;23/06/2016;22:15;MC;1126;24/06/2016;07:25;MC
