Stay ;BodyType ;AircraftType ;Towable ;Arr_OwnerCie ;Arr_ExploitingCie ;Arr_Number ;Arr_Date ;Arr_Hour;Arr_CourrierCode ;Arr_Stop ;Dep_OwnerCie ;Dep_ExploitingCie ;Dep_Number ;Dep_Date ;Dep_Hour;Dep_CourrierCode ;Dep_Stop ;Parking 1 ;Contact 1 ;Zone 1 ;Start Date 1 ;Start Hour 1 ;End Date 1 ;End Hour 1 ;Parking 2 ;Contact 2 ;Zone 2 ;Start Date 2 ;Start Hour 2 ;End Date 2 ;End Hour 2 ;Parking 3 ;Contact 3 ;Zone 3 ;Start Date 3 ;Start Hour 3 ;End Date 3 ;End Hour 3 ;Parking 4 ;Contact 4 ;Zone 4 ;Start Date 4 ;Start Hour 4 ;End Date 4 ;End Hour 4 
3299854;MP;319;0;AF;AF;7685;09/08/2022;20:00;MC;MPL;AF;AF;9440;09/08/2022;21:00;MC;AGP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3299926;MP;321;0;AF;AF;7673;09/08/2022;07:50;MC;MRS;AF;AF;7736;09/08/2022;08:50;MC;BES;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3299947;MP;223;0;AF;AF;1579;09/08/2022;08:30;MC;NAP;AF;AF;1146;09/08/2022;09:30;MC;WAW;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300041;MP;320;0;AF;AF;7669;09/08/2022;11:25;MC;MRS;AF;AF;1832;09/08/2022;12:25;MC;ATH;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300046;MP;223;0;AF;AF;1549;09/08/2022;20:00;MC;BCN;AF;AF;1134;09/08/2022;20:55;MC;BER;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300054;MP;320;0;AF;AF;1243;09/08/2022;08:40;MC;GVA;AF;AF;7662;09/08/2022;09:35;MC;MRS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3298993;MP;320;1;AF;AF;1003;09/08/2022;18:40;MC;HER;AF;AF;1242;09/08/2022;20:45;MC;GVA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3299606;MP;320;0;AF;AF;1583;09/08/2022;08:20;MC;PRG;AF;AF;1262;09/08/2022;09:15;MC;ARN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3299609;MP;320;0;AF;AF;1241;09/08/2022;10:50;MC;AMS;AF;AF;1640;09/08/2022;11:45;MC;AMS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3299618;MP;320;0;AF;AF;1641;09/08/2022;15:25;MC;AMS;AF;AF;1194;09/08/2022;16:20;MC;LIS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3299647;MP;320;0;AF;AF;1091;09/08/2022;12:45;MC;BRI;AF;AF;1098;09/08/2022;13:45;MC;JMK;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3299700;MP;223;0;AF;AF;1295;09/08/2022;14:40;MC;BUD;AF;AF;1328;09/08/2022;15:35;MC;BLQ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3299701;MP;321;0;AF;AF;7349;09/08/2022;11:20;MC;BOD;AF;AF;7514;09/08/2022;12:35;MC;TLS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3299763;MP;319;0;AF;AF;1567;09/08/2022;17:05;MC;FLR;AF;AF;1766;09/08/2022;18:05;MC;FLR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3299774;MP;321;0;AF;AF;1005;09/08/2022;08:35;MC;FCO;AF;AF;7720;09/08/2022;09:35;MC;NTE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3299825;MP;223;0;AF;AF;1135;09/08/2022;08:05;MC;BER;AF;AF;1150;09/08/2022;09:20;MC;CPH;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300092;MP;319;0;AF;AF;1025;09/08/2022;15:40;MC;LIS;AF;AF;7588;09/08/2022;16:30;MC;AJA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300102;MP;223;0;AF;AF;1083;09/08/2022;19:55;MC;PRG;AF;AF;1610;09/08/2022;20:50;MC;HAM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300103;MP;320;0;AF;AF;1447;09/08/2022;15:15;MC;HER;AF;AF;1342;09/08/2022;16:15;MC;GVA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300105;MP;321;0;AF;AF;7641;09/08/2022;10:35;MC;LYS;AF;AF;7664;09/08/2022;11:30;MC;MRS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300133;MP;320;0;AF;AF;7625;09/08/2022;12:35;MC;BOD;AF;AF;1600;09/08/2022;13:30;MC;MAD;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300134;MP;319;0;AF;AF;1067;09/08/2022;11:40;MC;FLR;AF;AF;1566;09/08/2022;12:45;MC;FLR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300168;MP;321;0;AF;AF;7725;09/08/2022;12:35;MC;NTE;AF;AF;1528;09/08/2022;14:15;MC;OPO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300177;MP;318;0;AF;AF;1411;09/08/2022;11:25;MC;HAM;AF;AF;1622;09/08/2022;12:20;MC;MUC;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300191;MP;318;0;AF;AF;1229;09/08/2022;11:35;MC;BLQ;AF;AF;1442;09/08/2022;12:40;MC;GVA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300219;MP;223;0;AF;AF;1301;09/08/2022;14:25;MC;MAD;AF;AF;1604;09/08/2022;15:25;MC;FCO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300229;MP;320;0;AF;AF;1727;09/08/2022;17:05;MC;VCE;AF;AF;1312;09/08/2022;18:20;MC;LIN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300237;MP;321;0;AF;AF;7667;09/08/2022;15:10;MC;MRS;AF;AF;7706;09/08/2022;16:10;MC;NCE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300251;MP;321;0;AF;AF;7525;09/08/2022;20:40;MC;TLS;AF;AF;7526;09/08/2022;21:40;MC;TLS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300254;MP;223;0;AF;AF;1511;09/08/2022;20:00;MC;HAM;AF;AF;1350;09/08/2022;20:55;MC;CPH;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
